Number,leaid11,STNAM,School.District,County_name,ALL_COHORT_1112,ALL_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,Percentage,Num_BGs_in_Tract,LAND_AREA,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,pct_URBANIZED_AREA_POP_CEN_2010,pct_URBAN_CLUSTER_POP_CEN_2010,pct_RURAL_POP_CEN_2010,pct_Males_CEN_2010,pct_Males_ACS_08_12,pct_Males_ACSMOE_08_12,pct_Females_CEN_2010,pct_Females_ACS_08_12,pct_Females_ACSMOE_08_12,pct_Tot_GQ_CEN_2010,pct_Inst_GQ_CEN_2010,pct_Non_Inst_GQ_CEN_2010,pct_Pop_5yrs_Over_ACS_08_12,pct_Pop_5yrs_Over_ACSMOE_08_12,pct_Othr_Lang_ACS_08_12,pct_Othr_Lang_ACSMOE_08_12,pct_Age5p_Only_Eng_ACS_08_12,pct_Age5p_Only_Eng_ACSMOE_08_12,pct_Pop_25yrs_Over_ACS_08_12,pct_Pop_25yrs_Over_ACSMOE_08_12,pct_Not_HS_Grad_ACS_08_12,pct_Not_HS_Grad_ACSMOE_08_12,pct_College_ACS_08_12,pct_College_ACSMOE_08_12,pct_Pov_Univ_ACS_08_12,pct_Pov_Univ_ACSMOE_08_12,pct_Prs_Blw_Pov_Lev_ACS_08_12,pct_Prs_Blw_Pov_Lev_ACSMOE_08_12,pct_Civ_emp_16p_ACS_08_12,pct_Civ_emp_16p_ACSMOE_08_12,pct_Civ_unemp_16p_ACS_08_12,pct_Civ_unemp_16p_ACSMOE_08_12,pct_Pop_1yr_Over_ACS_08_12,pct_Pop_1yr_Over_ACSMOE_08_12,pct_Diff_HU_1yr_Ago_ACS_08_12,pct_Diff_HU_1yr_Ago_ACSMOE_08_12,pct_Born_US_ACS_08_12,pct_Born_US_ACSMOE_08_12,pct_Born_foreign_ACS_08_12,pct_Born_foreign_ACSMOE_08_12,pct_US_Cit_Nat_ACS_08_12,pct_US_Cit_Nat_ACSMOE_08_12,pct_NON_US_Cit_ACS_08_12,pct_NON_US_Cit_ACSMOE_08_12,pct_ENG_VW_SPAN_ACS_08_12,pct_ENG_VW_SPAN_ACSMOE_08_12,pct_ENG_VW_INDOEURO_ACS_08_12,pct_ENG_VW_INDOEURO_ACSMOE_08_12,pct_ENG_VW_API_ACS_08_12,pct_ENG_VW_API_ACSMOE_08_12,pct_ENG_VW_OTHER_ACS_08_12,pct_ENG_VW_OTHER_ACSMOE_08_12,pct_ENG_VW_ACS_08_12,pct_ENG_VW_ACSMOE_08_12,pct_Rel_Family_HHDS_CEN_2010,pct_Rel_Family_HHD_ACS_08_12,pct_Rel_Family_HHD_ACSMOE_08_12,pct_MrdCple_HHD_CEN_2010,pct_MrdCple_HHD_ACS_08_12,pct_MrdCple_HHD_ACSMOE_08_12,pct_Not_MrdCple_HHD_CEN_2010,pct_Not_MrdCple_HHD_ACS_08_12,pct_Not_MrdCple_HHD_ACSMOE_08_12,pct_Female_No_HB_CEN_2010,pct_Female_No_HB_ACS_08_12,pct_Female_No_HB_ACSMOE_08_12,pct_NonFamily_HHD_CEN_2010,pct_NonFamily_HHD_ACS_08_12,pct_NonFamily_HHD_ACSMOE_08_12,pct_Sngl_Prns_HHD_CEN_2010,pct_Sngl_Prns_HHD_ACS_08_12,pct_Sngl_Prns_HHD_ACSMOE_08_12,pct_HHD_PPL_Und_18_CEN_2010,pct_HHD_PPL_Und_18_ACS_08_12,pct_HHD_PPL_Und_18_ACSMOE_08_12,avg_Tot_Prns_in_HHD_CEN_2010,avg_Tot_Prns_in_HHD_ACS_08_12,avg_Tot_Prns_in_HHD_ACSMOE_08_12,pct_Rel_Under_6_CEN_2010,pct_Rel_Under_6_ACS_08_12,pct_Rel_Under_6_ACSMOE_08_12,pct_HHD_Moved_in_ACS_08_12,pct_HHD_Moved_in_ACSMOE_08_12,pct_PUB_ASST_INC_ACS_08_12,pct_PUB_ASST_INC_ACSMOE_08_12,pct_Tot_Occp_Units_CEN_2010,pct_Tot_Occp_Units_ACS_08_12,pct_Tot_Occp_Units_ACSMOE_08_12,pct_Vacant_Units_CEN_2010,pct_Vacant_Units_ACS_08_12,pct_Vacant_Units_ACSMOE_08_12,pct_Renter_Occp_HU_CEN_2010,pct_Renter_Occp_HU_ACS_08_12,pct_Renter_Occp_HU_ACSMOE_08_12,pct_Owner_Occp_HU_CEN_2010,pct_Owner_Occp_HU_ACS_08_12,pct_Owner_Occp_HU_ACSMOE_08_12,pct_Single_Unit_ACS_08_12,pct_Single_Unit_ACSMOE_08_12,pct_MLT_U2_9_STRC_ACS_08_12,pct_MLT_U2_9_STRC_ACSMOE_08_12,pct_MLT_U10p_ACS_08_12,pct_MLT_U10p_ACSMOE_08_12,pct_Mobile_Homes_ACS_08_12,pct_Mobile_Homes_ACSMOE_08_12,pct_Crowd_Occp_U_ACS_08_12,pct_Crowd_Occp_U_ACSMOE_08_12,pct_NO_PH_SRVC_ACS_08_12,pct_NO_PH_SRVC_ACSMOE_08_12,pct_No_Plumb_ACS_08_12,pct_No_Plumb_ACSMOE_08_12,pct_Recent_Built_HU_ACS_08_12,pct_Recent_Built_HU_ACSMOE_08_12
556,1301740,GEORGIA,DeKalb County School District,DeKalb County,8204,57,5325,54,100,3,0.952,3991,0,0,100,0,0,49.64,47.73903262,4.961929711,50.36,52.26096738,7.36888843,0.05,0,0.05,89.17885264,16.71254273,11.37739657,6.206173256,88.62260343,6.540997815,55.86051744,10.15783554,13.61256545,5.930690822,8.578332662,3.719929374,99.0776153,18.77933544,37.57947321,12.31689204,80.2411513,2.667874174,19.7588487,6.182789382,97.97525309,18.49999684,32.78989667,4.359437468,88.57142857,6.07780892,11.42857143,6.965030682,2.182227222,1.547381706,9.246344207,6.611421151,1.987852016,2.311373287,0,0.71783545,0,0.71783545,0,0.71783545,1.987852016,2.422164595,48.27,51.84980674,9.185957359,12.57,12.86581999,3.95478394,87.43,87.13418001,12.23561708,27.6,29.09994478,8.966032588,51.73,48.15019326,9.613366588,40.73,44.06405301,9.125678525,32.91,34.67697405,7.410356998,2.2285,2.454445058,0.230937636,38.89,34.07880724,12.75622992,23.13638874,7.810371677,4.362230812,3.898276635,77.06,71.66600712,6.756125947,22.94,28.33399288,6.752773447,88.72,84.09718388,4.961710538,11.28,15.90281612,4.26543271,20.3403245,4.817642444,55.40166205,8.425264793,24.25801346,6.756552968,0,0.514444005,6.350082827,3.985017177,2.8713418,2.691748273,4.74871389,2.848285608,0,0.514444005
557,1301830,GEORGIA,Dougherty School District,Dougherty County,1206,57,879,53,100,2,39.05,345,0,1486,18.84,0,81.16,50.35,53.44827586,2.58379196,49.65,46.55172414,4.338663749,2.18,0,2.18,94.82758621,20.80618763,9.465240642,8.172776255,90.53475936,18.23780408,65.87221095,14.70403736,9.083910701,3.594140069,20.86220169,6.76389682,92.29208925,5.316166047,5,3.009143575,86.64955071,27.04159738,13.35044929,7.936697174,99.49290061,22.92614124,14.11824669,2.288278515,96.65314402,2.789793005,3.346855984,3.250240661,2.738336714,2.958075979,0.60851927,1.111157341,1.098901099,1.911761637,0,1.785714286,0,1.785714286,0,1.785714286,1.098901099,2.601563778,76.08,80.21978022,9.361624116,58.15,73.07692308,10.14537532,41.85,26.92307692,8.149196014,12.11,4.945054945,3.730174985,23.92,19.78021978,7.029545535,20.93,17.9945055,6.894661724,35.13,34.61538462,13.30511594,2.6771,2.510989011,0.643260113,20.04,19.00684932,15.7072638,8.791208791,7.368859331,0,1.785714286,90.9,91.68765743,8.136369454,9.1,8.312342569,9.342658732,23.47,27.1978022,14.05688748,76.53,72.8021978,18.34582016,68.26196474,16.01207753,7.682619647,12.40192562,0,1.637279597,19.01763224,8.892473744,0,0,2.06043956,2.58049905,0.503778338,0.877564171,3.526448363,5.88984834
558,1301860,GEORGIA,Douglas County School District,Douglas County,2050,72,1603,75,100,4,10.672,8446,0,474,94.69,0,5.31,47.88,46.79934823,4.694337601,52.12,53.20065177,1.445312153,0.2,0.12,0.08,94.80912477,1.451536398,7.537441689,4.466069449,92.46255831,5.410401816,59.72998138,7.024518271,9.00233827,3.378630041,23.51909587,5.332449453,99.90689013,0.383628471,10.12348556,4.643114143,86.90842041,13.30937931,13.09157959,6.142976473,98.30074488,0.901339187,8.607624911,0.769447882,95.05353818,4.01555613,4.946461825,2.380564716,2.211359404,1.547144809,2.735102421,2.057369629,0,0.669721537,0.317236517,0.493040529,0,0.669721537,0,0.669721537,0.317236517,0.845708331,80.81,79.80260839,6.238953833,53.18,46.06979203,7.750924843,46.82,53.93020797,9.81617724,21.62,24.60345435,7.368690727,19.19,20.19739161,6.313095198,15.57,17.55375397,6.382799923,50.96,49.24215721,6.856372424,3.0942,3.025378921,0.182150419,25.76,17.5795053,6.74435932,4.864293268,3.687327103,0,0.669721537,91.74,93.50692156,3.803638257,8.26,6.493078444,4.734453054,16.82,13.04194572,5.50323252,83.18,86.95805428,4.992926547,98.25313118,1.120540604,0,0.626235992,0,0.626235992,1.74686882,1.711553877,0.317236517,0.598863468,0.458230525,0.986500706,1.812788398,2.767052852,0,0.626235992
559,1301980,GEORGIA,Effingham County School District,Effingham County,857,79,301,64,100,2,24.479,1030,0,4247,19.52,0,80.48,49.5,49.73679742,4.629276307,50.5,50.26320258,1.757165366,0,0,0,94.46425539,11.11492925,3.23566421,2.249175786,96.76433579,2.651449284,63.27050433,7.356659805,11.86258723,5.363827868,18.65271068,5.041389899,99.77924945,0.557072195,9.751531654,5.779447907,91.00074683,4.900833117,8.999253174,5.067711486,98.96417049,11.59847353,12.57721345,1.029397875,98.28493802,2.419331015,1.71506198,1.367900911,0.560366786,0.626529133,1.154695194,0.980112411,0,0.976863753,0,0.976863753,0,0.976863753,0,0.976863753,0,0.976863753,80.07,79.69151671,6.833750181,63.26,68.27763496,6.849402966,36.74,31.72236504,8.988758637,11.26,6.272493573,4.090004262,19.93,20.30848329,7.582168518,15.93,17.63496144,6.884320173,44.65,52.75064267,7.766331268,2.8979,3.027763496,0.14263161,22.84,19.09677419,8.583947794,7.866323908,4.646695906,1.388174807,2.105765975,93.24,92.70734032,4.503980987,6.76,7.292659676,4.896109843,16.09,9.254498715,5.463655902,83.91,90.74550129,6.280322016,81.31553861,5.905050458,0,0.905624404,0,0.905624404,18.68446139,6.078553396,3.701799486,4.105077535,0,0.976863753,1.239275501,1.619426259,1.048617731,1.285889726
560,1302130,GEORGIA,Fayette County School District,Fayette County,1921,86,369,72,100,2,5.33,5482,0,51,99.08,0,0.92,46.29,44.53627181,4.166670768,53.71,55.46372819,5.582579286,2.26,2.26,0,93.46189164,9.433928306,9.687561407,3.128396973,90.31243859,4.312085556,67.23599633,6.415115045,5.927342256,2.125506918,46.35345534,6.716236924,96.85950413,2.247401223,4.569586652,3.528886982,92.68468469,3.963183477,7.315315315,2.519552906,98.76951332,9.950320802,14.11305318,0.99720346,91.95592287,3.656827216,8.044077135,3.086915879,5.399449036,2.560339923,2.644628099,2.435214211,0,0.978372812,0.463439753,0.771580711,0,0.978372812,0,0.978372812,0.463439753,1.235327708,75.77,74.04737384,3.54038912,59.83,61.3800206,4.684690453,40.17,38.6199794,8.182368065,12.61,12.2554068,5.481208345,24.23,25.95262616,6.283170159,21.55,22.86302781,5.602015812,39.72,38.25952626,5.670401324,2.6852,2.715756952,0.292264242,14.68,16.06397775,6.658492055,8.908341916,4.531649673,1.390319259,1.644329355,92.73,94.63937622,2.717309276,7.27,5.360623782,4.173641817,21.3,14.16065911,5.191336412,78.7,85.83934089,2.224625202,87.42690059,4.781840307,6.237816764,3.627924191,5.555555556,3.486435932,0.779727096,0.973078692,0,0,1.287332647,2.263551543,0,0.925925926,0,0.925925926
561,1302190,GEORGIA,Floyd County School District,Floyd County,736,76,349,68,100,3,109.933,0,0,4800,0,0,100,49.08,45.82710779,4.801104025,50.92,54.17289221,2.135193241,2.27,2.27,0,94.30096051,12.11157602,1.312811227,0.920980017,98.68718877,12.09926192,68.77267876,8.919321733,21.10490379,5.852742479,18.49782744,4.75227251,98.93276414,1.764464217,20.62567422,7.932397504,87.22222222,2.376168583,12.77777778,5.841836849,99.44503735,0.42911543,12.62073406,1.194621962,99.16755603,13.21117771,0.83244397,0.807270825,0.256136606,0.383440773,0.576307364,0.638018547,0,0.746268657,0,0.746268657,0,0.746268657,0,0.746268657,0,0.746268657,72.79,76.63605052,4.111498693,57.19,61.59586682,5.352149134,42.81,38.40413318,7.668546377,10.76,13.43283582,4.876184323,27.21,23.36394948,6.089043616,23.43,20.03444317,4.969552798,30.03,31.2858783,4.513362199,2.4979,2.660734788,0.140798213,13.83,14.90636704,6.7391745,6.946039036,3.224130704,0.344431688,0.515905447,86.94,85.35031847,4.071996085,13.06,14.64968153,5.206011008,24.07,23.07692308,6.991249904,75.93,76.92307692,4.767876448,72.4644782,5.404300754,5.487506124,2.57239989,1.763841254,1.760148536,20.28417442,5.47964665,0.172215844,0.286692514,0,0,4.654581088,3.613155119,0,0.636942675
562,1302220,GEORGIA,Forsyth County School District,Forsyth County,2284,88,410,66,100,2,4.724,2901,0,386,88.26,0,11.74,48.62,49.010181,4.135827067,51.38,50.98981901,2.798614266,0,0,0,86.36877828,15.63953398,7.924034054,5.551318611,92.07596595,7.817599897,62.52828054,5.201047405,15.10628675,7.683041423,31.47896879,6.756771836,97.73755656,17.84537208,8.940972222,4.647803141,89.24369748,23.7192654,10.75630252,6.93323288,96.88914027,5.115017088,9.165207239,1.334920727,91.57239819,9.112436182,8.42760181,5.798862838,2.007918552,2.615928638,6.419683258,5.531320534,0.765027322,1.96416164,0,1.420765027,0,1.420765027,0,1.420765027,0.765027322,2.401875564,77.15,81.96721312,7.20497082,65.46,74.9726776,7.148217257,34.54,25.0273224,8.807205265,7.99,5.792349727,5.179938871,22.85,18.03278689,7.201477775,19.33,17.26775956,7.700305552,42.44,54.64480874,11.01895689,2.8239,3.861202186,0.762095341,23.94,34.53333333,11.55908943,10.27322404,6.165798555,1.31147541,2.067996276,93.57,86.81214421,6.582448617,6.43,13.18785579,7.322149044,16.92,3.278688525,3.134445037,83.08,96.72131148,2.647570581,87.28652751,11.39038946,2.466793169,3.211866049,0,1.233396584,10.24667932,7.487432033,7.540983607,7.242374429,0,1.420765027,0.948766603,1.894031829,7.210626186,4.469098045
563,1302250,GEORGIA,Franklin County School District,Franklin County,245,82,115,70-74,100,4,36.743,0,2445,3040,0,44.58,55.42,47.55,50.70725157,2.251584905,52.45,49.29274843,3.410769514,8.26,2.55,5.71,95.7385855,8.594610854,5.386197868,2.123617656,94.61380213,3.132381719,64.35094002,5.662258548,30.69003895,4.318108988,12.85475793,2.786681566,88.89883617,1.854669671,16.51560927,4.953181488,91.80722892,4.986755455,8.192771084,2.850993369,98.96150403,0.916249512,15.34286231,0.988250223,97.36794987,2.561913749,2.632050134,1.368446766,0.698299015,0.696878955,1.933751119,1.193292625,1.844843898,1.555596779,0,0.898770104,0,0.898770104,0,0.898770104,1.844843898,1.792831059,63.14,61.58940397,4.355690067,45.91,46.07379376,5.166330458,54.09,53.92620624,8.039939427,12.22,13.24503311,4.830196838,36.86,38.41059603,6.302144449,32.77,33.39640492,5.629909867,30.13,28.05108799,5.421812691,2.4216,2.347209082,0.228434694,21.72,21.12135177,7.942932342,7.332071902,3.318565065,1.702932829,1.128925873,87.27,88.45188285,4.689436899,12.73,11.54811716,4.107390615,38.59,39.07284768,6.590611286,61.41,60.92715232,4.33538434,68.9958159,4.803282277,12.21757322,4.52523286,1.966527197,1.293851577,16.82008368,3.982687839,0.756859035,1.086676281,4.54115421,2.629598842,5.355648536,3.463884224,0,0.79497908
564,1302280,GEORGIA,Fulton County School District,Fulton County,7335,71,2870,55,100,3,2.324,7755,0,0,100,0,0,47.58,46.99722433,4.534421171,52.42,53.00277568,4.116738049,0,0,0,96.31592228,2.297083354,37.68666492,7.588473848,62.31333508,6.321872007,59.86626293,6.484049777,6.406743941,2.98334299,57.78714436,7.286388413,100,12.07951781,5.892001009,4.856659099,93.74513366,4.284834296,6.254866338,3.317656672,99.25561443,0.930995969,15.2790136,1.312903673,69.2657078,5.532244976,30.7342922,6.871129481,10.14383043,2.822306844,20.59046177,7.32396554,2.044989775,3.350288707,0,0.777096115,4.253578732,4.07756984,0,0.777096115,6.298568507,5.337093057,78.56,77.87321063,4.888762142,66.37,68.58895706,6.156918343,33.63,31.41104295,9.782816922,9.76,8.507157464,5.896189521,21.44,22.12678937,7.843424489,18.03,18.65030675,7.64455789,49.57,57.17791411,7.06695858,2.9012,3.227402863,0.140294793,20.57,12.65756303,5.212488217,18.56850716,8.558650845,0.858895706,1.511926378,94.15,94.98834499,5.960839181,5.85,5.011655012,7.300945567,36.33,32.84253579,7.587189735,63.67,67.15746421,3.517392493,80.03108003,8.442848791,8.391608392,7.645798485,11.57731158,6.431791117,0,0.738150738,0.858895706,1.389106333,2.617586912,3.348055895,0.738150738,1.165112137,0,0.738150738
565,1302310,GEORGIA,Gainesville City School District,Hall County,412,67,243,60-64,99.99692077,4,2.695,5456,0,0,100,0,0,47.6,47.61508019,7.942651075,52.4,52.38491981,4.396949749,0.71,0,0.71,91.12684857,16.66500261,31.38285714,12.94313119,68.61714286,0.652740396,63.86169548,10.89076415,13.73124592,7.081659255,35.02935421,6.36203924,98.91689231,1.605712306,23.81554011,15.50115172,93.37040205,5.971478387,6.629597947,4.144533818,97.39637576,2.226395358,24.5081266,3.244339257,84.16996459,14.79010824,15.83003541,9.888946926,2.10372839,1.8965332,13.72630702,10.04805447,3.848101266,4.646016323,0.759493671,1.162655138,0,0.658227848,0.556962025,0.960787455,5.164556962,4.941360076,58.18,56.70886076,6.717243044,40.42,38.88607595,7.573024152,59.58,61.11392405,11.47053744,13.14,16.35443038,7.149018681,41.82,43.29113924,9.3351406,34.84,30.63291139,7.858308867,30.4,27.5443038,7.839655836,2.4545,2.397468354,0.234016893,26.48,24.19642857,14.47835121,5.620253165,4.530291158,0.607594937,1.11265187,88.17,84.87322733,4.696991693,11.83,15.12677267,6.711726134,45.94,50.98734177,8.406181239,54.06,49.01265823,7.401993766,67.51181779,8.562228344,21.27202407,7.424196525,10.22776107,5.97611627,0.988397078,1.072246507,5.569620253,5.243173843,10.12658228,7.23697977,0,0.558659218,0,0.558659218
566,1302400,GEORGIA,Glynn County School District,Glynn County,904,74,440,69,100,4,202.955,3788,0,6242,37.77,0,62.23,49.07,48.3432633,2.361170875,50.93,51.6567367,2.348355106,0,0,0,92.547298,1.810583292,6.132821324,3.474289014,93.86717868,9.152225821,67.32518031,6.464360935,10.32448378,3.548982347,22.40335352,4.072756818,100,9.608433318,12.92986307,4.471862441,94.61461462,2.56986896,5.385385385,2.07418388,99.12198181,9.499762676,18.20099125,1.230289506,98.50527856,9.433201375,1.494721438,0.882647768,0.878018188,0.676794895,0.616703251,0.625754624,0,0.527777778,0,0.527777778,0,0.527777778,0,0.527777778,0,0.527777778,75.96,79.72222222,3.393198408,61.68,66.02777778,5.578957986,38.32,33.97222222,6.806942307,10.42,10.33333333,3.805243945,24.04,20.27777778,5.433625794,19.77,18.25,5.320340648,35.89,36.27777778,4.596656099,2.6127,2.656666667,0.066262829,18.9,18.46689896,5.717408373,10.61111111,4.561875919,0,0.527777778,83.69,80.95345177,3.833844354,16.31,19.04654824,4.402668882,17.24,22.27777778,4.941403348,82.76,77.72222222,3.078048184,72.20598156,4.379913196,4.587362267,2.894411011,1.034405217,1.685969225,22.17225096,4.514577856,0.694444444,0.804354016,4.444444444,2.763479249,0,0.427254329,0,0.427254329
567,1302430,GEORGIA,Gordon County School District,Gordon County,453,81,227,80-84,100,3,97.784,0,1209,4724,0,20.38,79.62,50.33,49.14199193,3.70277386,49.67,50.85800808,2.526131792,0,0,0,92.00874832,11.09570766,7.313951362,4.291149653,92.68604864,3.473572962,66.55450875,7.969188562,23.07886754,5.927876485,12.99292214,5.021284364,99.66352625,12.36300013,27.22822417,8.86773916,91.45059566,4.619023301,8.549404345,4.516894493,99.62987887,0.930383241,4.593042891,0.405633474,96.65208614,2.442660696,3.347913863,2.760294271,2.002018843,2.298129679,1.34589502,1.1040546,1.804368471,1.798410638,0,0.902184236,0,0.902184236,0,0.902184236,1.804368471,1.988913193,77.84,79.10731244,4.486131475,61.08,64.8622982,5.864527609,38.92,35.1377018,8.808741311,10.85,11.68091168,4.894710941,22.16,20.89268756,7.356801332,18.54,15.76448243,5.552369982,38.73,32.19373219,6.472100873,2.7854,2.820987654,0.094711147,20.39,20.16806723,7.356705942,7.075023742,5.478033032,2.991452992,2.122901634,85.85,85.12530315,4.747415295,14.15,14.87469685,6.325803619,17.79,19.04083571,8.406014641,82.21,80.95916429,4.262759276,74.33306386,8.104868972,0,0.767987066,0,0.767987066,25.66693614,6.495079589,2.32668566,1.985333747,7.977207977,4.703952671,5.537590946,4.393684135,0.565885206,0.969513948
568,1302460,GEORGIA,Grady County School District,Grady County,226,81,100,65-69,100,2,99.724,0,0,2297,0,0,100,49.24,50.37282519,3.595146075,50.76,49.62717481,4.415053231,0,0,0,94.36619718,21.266473,0.658472344,1.180899715,99.34152766,21.59471864,65.16155758,13.64746864,23.83979657,6.554725716,7.50158932,3.688214117,100,23.25777897,32.97431649,14.24726167,92.95918367,6.427423541,7.040816327,3.84659195,98.92294946,22.84022626,14.65661642,2.375255675,100,23.25777897,0,0.538525269,0,0.538525269,0,0.538525269,0,1.280788177,0,1.280788177,0,1.280788177,0,1.280788177,0,1.280788177,74.44,76.25615764,7.797470634,60.31,55.36945813,8.430014868,39.69,44.63054187,12.65561696,9.64,15.56650246,9.29800141,25.56,23.74384237,7.634115261,22.98,22.85714286,7.771322716,34.98,35.17241379,11.67616491,2.5751,2.378325123,0.287883797,22.29,17.82945736,11.045447,9.753694581,7.90607257,13.39901478,8.740617486,86.52,88.49171752,5.716518539,13.48,11.50828248,5.747368795,23.99,37.63546798,12.83073464,76.01,62.36453202,8.953441944,53.09503051,8.193381505,0,1.133391456,0,1.133391456,46.90496949,10.22300135,1.871921182,2.157445678,7.881773399,6.3435393,2.877070619,2.777663691,0,1.133391456
569,1302520,GEORGIA,Spalding County School District,Spalding County,695,64,431,56,100,2,12.444,5151,0,1679,75.42,0,24.58,45.33,52.55016722,4.884706179,54.67,47.44983278,2.935901407,1.95,1.95,0,94.18896321,10.65972244,10.83000444,6.518992431,89.16999556,6.728468275,61.97045708,6.597231347,18.326962,5.566666542,18.79919047,5.26069758,96.47435897,3.133911886,16.58240647,12.30125993,87.03804348,2.998335948,12.96195652,5.516093453,99.05239688,1.264945874,29.16432189,2.506950011,93.00445931,3.654271474,6.995540691,4.053604116,2.814938685,2.412913378,4.180602007,3.353575543,0.977443609,1.427450185,0,0.714285714,0,0.714285714,0,0.714285714,0.977443609,1.577932982,70.08,66.27819549,8.165949856,43.69,52.78195489,6.828652924,56.31,47.21804511,9.384381428,19.78,7.218045113,3.811748152,29.92,33.72180451,7.610726642,25.63,28.60902256,6.561082286,39.37,42.93233083,6.936543823,2.682,2.64962406,0.17197785,25.14,19.9659671,10.54590306,18.90977444,8.046163614,0.902255639,1.164242295,91.8,93.82716049,3.633810484,8.2,6.172839506,4.083078848,43.97,38.34586466,7.380091524,56.03,61.65413534,7.710066892,81.16402116,5.217480757,14.28571429,5.290681342,3.915343915,3.17012872,0.634920635,1.022562721,3.571428571,5.108599295,0.639097744,1.240049621,0,0.670194004,0,0.670194004
570,1302550,GEORGIA,Gwinnett County School District,Gwinnett County,12090,71,5721,59,100,3,1.325,5098,0,0,100,0,0,51.61,47.58500773,5.09889904,48.39,52.41499227,4.533570312,0,0,0,91.40262751,0.840346079,64.8065948,9.125748691,35.1934052,9.646493701,61.97836167,11.6789443,18.42269327,7.234726748,17.51870324,7.306936068,100,18.90718287,34.52472952,12.85568013,87.08306082,6.537186106,12.91693918,5.755996913,95.22797527,0.998214179,29.15398661,3.909674406,47.10200927,9.034199502,52.89799073,7.189727486,15.2820711,4.205384256,37.61591963,9.404401047,23.35692619,7.975201339,0.455005056,0.807691223,9.100101112,4.153831147,0,0.960566229,32.91203236,8.844125469,63.11,67.99797776,7.858850497,37.69,39.23154702,8.653105803,62.31,60.76845298,11.52001247,16.73,21.73913044,7.125874418,36.89,32.00202225,8.607266091,28.95,21.84024267,8.015592474,40.86,35.64206269,9.930250692,2.7335,2.615267947,0.240727831,37.64,28.32713755,12.60311425,27.55308392,8.061344788,2.224469161,2.213964721,85.59,86,6.786615316,14.41,14,6.517355048,71.69,82.00202225,5.730357774,28.31,17.99797776,3.535269941,26.17391304,5.814756244,25,9.064435375,48.04347826,11.06290511,0.782608696,1.477598902,7.684529828,5.051391239,1.971688574,2.11471405,1.304347826,2.085653925,0,0.826086957
571,1302580,GEORGIA,Habersham County School District,Habersham County,406,76,193,70-74,100,3,12.687,0,4451,1340,0,76.86,23.14,36.59,37.51948727,1.585325897,63.41,62.48051273,8.432706266,27.39,26.68,0.71,94.49159882,4.563175164,14.24381302,3.419809855,85.75618698,6.66441666,71.15884289,2.708856266,35.27263875,6.440668868,7.619279455,2.015977106,69.66914949,10.34389985,25.83291895,8.661438894,93.47939489,14.68256007,6.520605112,2.882919669,98.96067902,1.518866392,15.71853667,1.8131482,89.55482418,5.354013639,10.44517582,2.748504036,2.355794214,1.553124492,8.089381604,1.95781062,10.89108911,6.054765616,0,1.343705799,0,1.343705799,0,1.343705799,10.89108911,6.198444832,78.24,72.70155587,3.893713399,61.63,63.9321075,4.516952313,38.37,36.0678925,8.141524181,10.58,6.435643564,3.978970974,21.76,27.29844413,7.204687276,18.44,24.75247525,6.620887254,39.12,39.10891089,6.385281859,2.8508,2.844413013,0.392679714,22.01,24.80544747,7.667999753,3.60678925,2.591499985,5.58698727,4.704995379,90.44,80.84619783,6.828865463,9.56,19.15380217,5.796454301,19.53,24.54031117,8.563322631,80.47,75.45968883,8.018157392,70.04002287,6.8471585,0.800457404,1.4859278,0,1.086335049,29.15951973,7.904633073,0.99009901,0.842811471,4.809052334,4.571448893,5.431675243,3.876725782,0,1.086335049
572,1302610,GEORGIA,Hall County School District,Hall County,1787,74,622,71,100,2,5.658,3469,0,735,82.52,0,17.48,48.76,47.01333333,4.738259435,51.24,52.98666667,2.41528995,0.48,0.43,0.05,95.38666667,0.698900864,9.756779424,4.797229762,90.24322058,3.904255373,74.37333333,1.919382743,7.601290785,4.123536371,30.33345285,5.177917986,100,13.87814909,3.36,1.755977569,92.8605201,3.222914355,7.139479905,3.272354962,99.73333333,0.716186602,11.39037433,1.120764105,94.10666667,2.810979016,5.893333333,3.255699008,3.226666667,1.677035471,2.666666667,2.5733953,1.24264225,1.761244119,0,0.850228908,0.457815566,0.848928343,0,0.850228908,1.700457816,2.151198943,72.33,72.46566383,3.225422956,57.9,61.15107914,2.938459137,42.1,38.84892086,8.096118431,10.08,8.567691302,4.359470665,27.67,27.53433617,6.757433436,23.02,23.4793983,6.778253345,29.99,26.42249837,4.16480927,2.4949,2.440810988,0.345670307,16.49,11.64259928,5.627296587,8.240680183,4.366112346,1.831262263,1.887320418,86.53,84.80310594,6.199787234,13.47,15.19689407,7.070340605,18.07,18.63963375,6.116980556,81.93,81.36036625,4.88882028,91.01497504,4.552202221,2.717692734,2.098469521,2.495840266,2.600547579,3.771491958,2.871233584,1.896664487,1.886639261,2.419882276,2.341331979,5.213533001,4.198401983,0,0.721020521
